State,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022
Alabama,46.6,46.7,59.6,61.6,69.4,77,79.3,80,73.9,67.3,52.2,56.8,43.9,50.1,57.4,62.6,73.5,80.4,81.7,79.3,73.7,61.2,55.3,49.1
Alaska,10.6,1,9.1,23.9,40.3,50.9,53.9,49.4,39.4,27.9,4.6,6.8,2.6,8.2,16.7,24.9,40.1,52.7,53.3,50.1,42.7,28.8,16.3,7.1
Arizona,42.6,46.5,49.4,61.2,67.9,80.6,81.4,79.5,74.8,59.9,55.8,45.6,43.5,44,51.8,60.5,68.6,78.6,82.2,79,75.9,61.8,46.1,42.8
Arkansas,41.4,34.8,55.2,58.4,66.8,76.9,79.4,80.7,74.3,65.5,49.4,53.4,38.7,42.2,52.1,59.9,71,78.2,84.1,79.4,73.8,61.4,49.8,43.2
California,45.5,47.4,48.2,58.2,64.5,74.9,79.8,77,72.2,58.2,54.8,43.5,46.2,47.4,52.9,55.9,62.4,72,77.6,78.4,73.8,63.7,46.8,43.5
Colorado,26.7,24.8,35.8,43.1,52.9,65.7,70,67.4,62.4,47.8,40.7,32.4,26.7,25.1,35.1,43.9,53.4,64.4,70.4,67.8,62.5,47.7,31.6,25.7
Connecticut,29.2,28.5,39.3,48.7,57.8,69.2,71.1,72.8,65.2,56.8,41,37,24.2,30.6,39,47.6,60.7,66.3,74.2,74.5,63.6,52.5,45.2,33.5
Delaware,36.2,35.6,47.6,55.3,63.3,73.8,77.7,76.9,70.1,63.2,45.1,44,31.6,39.1,47.2,53.2,65.1,72.4,79,78.1,69.3,55.8,49.8,37.8
Florida,58.7,63.7,67.8,69.9,76.1,80.7,81.9,82.6,79.7,75.3,63.4,66.5,57.6,63.2,68.6,72,77.7,82,83.2,83,80,71.8,69.7,61.5
Georgia,47.7,49.5,59.9,62.1,69.4,77,79.3,80,73.8,67.2,52.7,56.6,45.9,52.8,59,63,73.2,80.1,81.2,79.5,74,62.1,57.5,49.1
Hawaii,64.8,63.3,63.5,63.9,66.7,68.1,69.8,69.2,68.8,68.1,67.3,64.8,64.4,64.6,65.7,66.5,67.2,67.7,69.4,69.5,69.8,69.3,67.2,65.9
